,year,state,totals
0,1998,Alabama,36568
1,1998,Alaska,3985
2,1998,Arizona,17453
3,1998,Arkansas,21752
4,1998,California,67445
5,1998,Colorado,23798
6,1998,Connecticut,6870
7,1998,Delaware,2135
8,1998,District of Columbia,0
9,1998,Florida,32341
10,1998,Georgia,3819
11,1998,Guam,9
12,1998,Hawaii,431
13,1998,Idaho,7339
14,1998,Illinois,41477
15,1998,Indiana,22518
16,1998,Iowa,14650
17,1998,Kansas,12386
18,1998,Kentucky,31869
19,1998,Louisiana,27642
20,1998,Maine,4106
21,1998,Mariana Islands,0
22,1998,Maryland,9007
23,1998,Massachusetts,1443
24,1998,Michigan,30596
25,1998,Minnesota,12116
26,1998,Mississippi,26097
27,1998,Missouri,24087
28,1998,Montana,6406
29,1998,Nebraska,6655
30,1998,Nevada,6439
31,1998,New Hampshire,2442
32,1998,New Jersey,3795
33,1998,New Mexico,9033
34,1998,New York,14736
35,1998,North Carolina,38943
36,1998,North Dakota,2437
37,1998,Ohio,32481
38,1998,Oklahoma,20075
39,1998,Oregon,14024
40,1998,Pennsylvania,48317
41,1998,Puerto Rico,513
42,1998,Rhode Island,1059
43,1998,South Carolina,9565
44,1998,South Dakota,2751
45,1998,Tennessee,24773
46,1998,Texas,82399
47,1998,Utah,10682
48,1998,Vermont,2116
49,1998,Virgin Islands,0
50,1998,Virginia,25194
51,1998,Washington,12002
52,1998,West Virginia,14194
53,1998,Wisconsin,15442
54,1998,Wyoming,3486
55,1999,Alabama,246756
56,1999,Alaska,43073
57,1999,Arizona,173548
58,1999,Arkansas,184616
59,1999,California,883144
60,1999,Colorado,257308
61,1999,Connecticut,87209
62,1999,Delaware,17594
63,1999,District of Columbia,21
64,1999,Florida,279700
65,1999,Georgia,409810
66,1999,Guam,170
67,1999,Hawaii,5343
68,1999,Idaho,79914
69,1999,Illinois,484848
70,1999,Indiana,203182
71,1999,Iowa,92222
72,1999,Kansas,106108
73,1999,Kentucky,248212
74,1999,Louisiana,196015
75,1999,Maine,47160
76,1999,Mariana Islands,51
77,1999,Maryland,91381
78,1999,Massachusetts,24314
79,1999,Michigan,307769
80,1999,Minnesota,177929
81,1999,Mississippi,182114
82,1999,Missouri,206636
83,1999,Montana,73027
84,1999,Nebraska,47959
85,1999,Nevada,62375
86,1999,New Hampshire,37711
87,1999,New Jersey,38601
88,1999,New Mexico,94406
89,1999,New York,186627
90,1999,North Carolina,309707
91,1999,North Dakota,29864
92,1999,Ohio,297597
93,1999,Oklahoma,169436
94,1999,Oregon,160358
95,1999,Pennsylvania,541555
96,1999,Puerto Rico,5190
97,1999,Rhode Island,10677
98,1999,South Carolina,145493
99,1999,South Dakota,31327
100,1999,Tennessee,264214
101,1999,Texas,710025
102,1999,Utah,77718
103,1999,Vermont,22218
104,1999,Virgin Islands,0
105,1999,Virginia,208554
106,1999,Washington,133674
107,1999,West Virginia,134471
108,1999,Wisconsin,179340
109,1999,Wyoming,35476
110,2000,Alabama,221911
111,2000,Alaska,39959
112,2000,Arizona,148263
113,2000,Arkansas,169628
114,2000,California,794506
115,2000,Colorado,307512
116,2000,Connecticut,87586
117,2000,Delaware,15347
118,2000,District of Columbia,17
119,2000,Florida,266035
120,2000,Georgia,352357
121,2000,Guam,279
122,2000,Hawaii,6609
123,2000,Idaho,77138
124,2000,Illinois,449771
125,2000,Indiana,182319
126,2000,Iowa,87796
127,2000,Kansas,96716
128,2000,Kentucky,229896
129,2000,Louisiana,174706
130,2000,Maine,45028
131,2000,Mariana Islands,13
132,2000,Maryland,84309
133,2000,Massachusetts,54843
134,2000,Michigan,300661
135,2000,Minnesota,185100
136,2000,Mississippi,163980
137,2000,Missouri,191578
138,2000,Montana,71115
139,2000,Nebraska,44825
140,2000,Nevada,49807
141,2000,New Hampshire,40120
142,2000,New Jersey,37106
143,2000,New Mexico,84034
144,2000,New York,163974
145,2000,North Carolina,290884
146,2000,North Dakota,32358
147,2000,Ohio,274165
148,2000,Oklahoma,156988
149,2000,Oregon,135336
150,2000,Pennsylvania,481294
151,2000,Puerto Rico,5301
152,2000,Rhode Island,9414
153,2000,South Carolina,128618
154,2000,South Dakota,36723
155,2000,Tennessee,234673
156,2000,Texas,662970
157,2000,Utah,67420
158,2000,Vermont,20300
159,2000,Virgin Islands,0
160,2000,Virginia,188508
161,2000,Washington,134255
162,2000,West Virginia,128258
163,2000,Wisconsin,180492
164,2000,Wyoming,34295
165,2001,Alabama,230187
166,2001,Alaska,39959
167,2001,Arizona,147582
168,2001,Arkansas,166062
169,2001,California,854569
170,2001,Colorado,348696
171,2001,Connecticut,89689
172,2001,Delaware,16619
173,2001,District of Columbia,17
174,2001,Florida,303396
175,2001,Georgia,325521
176,2001,Guam,328
177,2001,Hawaii,7464
178,2001,Idaho,75400
179,2001,Illinois,462702
180,2001,Indiana,195780
181,2001,Iowa,89658
182,2001,Kansas,95408
183,2001,Kentucky,238996
184,2001,Louisiana,177775
185,2001,Maine,50019
